Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
0	{'C0H5H0', 'C0H4Y6', 'Q8I2V9', 'Q8IKB2', 'O96230', 'Q8IIV8'}	0.32627257799671583	6	0.424284071638282	False	True
1	{'Q8IBS3', 'Q8I246', 'Q8IIW2', 'Q8ILP6', 'Q8IIA4', 'Q8IDZ9'}	0.9130261197717966	6	0.40105183024498897	True	True
2	{'Q8IDN6', 'Q8ILL3', 'Q8IL58', 'Q8IJV6', 'Q8I0P6', 'O97313', 'Q8I431', 'C0H5C2', 'C6KT18', 'Q8I3R0', 'Q8IEK3', 'Q8IKM5', 'Q8II61', 'Q8I487', 'Q8IKR1', 'Q8IJM9', 'Q8IE10', 'Q8IDK7', 'Q8IAX5', 'Q8IDR9', 'Q8IKW5', 'A0A5K1K8V8', 'O97249', 'O97285', 'Q8IL02', 'Q8IAX6', 'Q8IJX8', 'Q8IIM8', 'Q8IKH8', 'Q8IKX4', 'Q8IJC6', 'Q9TY99', 'Q8I5H4', 'C0H4L1', 'Q8IIB4', 'Q8I4U5', 'Q8IBY4', 'C6KT25', 'Q8IDB0', 'Q8IIU8', 'Q8IB24', 'O77381', 'Q8IAX8', 'Q8I3T8', 'Q8ID28', 'Q8IIA2', 'Q8I0V2', 'C6KT19', 'Q8IJ34', 'Q8IEQ1', 'Q8ILI2', 'Q8ILK3', 'Q6ZMA8', 'Q8IBV7', 'Q8IK15', 'K7NTP5', 'C6KT23', 'Q8IIV2', 'C0H4A6', 'Q8IIV1', 'Q8ILL2', 'Q8IM10', 'O00806', 'Q6ZMA7', 'Q8IET7'}	0.5393013452065175	65	0.4043987554474103	True	True
3	{'Q6ZMA8', 'Q8IE84', 'Q8IDS0', 'Q76NM6', 'Q8I2H3', 'Q8IEP9', 'Q8I280'}	0.6412151067323478	7	0.39755564870497684	True	True
4	{'Q8I3J0', 'Q8I2W3', 'Q8I5H2', 'C0H4U4', 'Q8IIR7', 'Q8ILI6', 'Q8I608'}	0.504480412854797	7	0.39949263883186226	True	True
5	{'Q8I261', 'Q8IBI3', 'Q8IDG3', 'Q8IIJ6', 'C6KT34', 'C0H4C7', 'Q8IJN9', 'O77323', 'Q8I0U7', 'Q8I5C4', 'O97247', 'C6KST3', 'A0A5K1K7U1', 'A0A5K1K9F3', 'Q8IDZ8', 'Q8IDG2', 'Q8II43', 'Q8IJA0', 'Q8II71', 'O96220', 'Q8II82', 'O96153', 'Q8IJM0', 'Q8IK90', 'O77396', 'Q7K6A9', 'Q8IJW0', 'Q8I6T3', 'C6KST5', 'Q8IKC9', 'Q8IJT1', 'Q8IBR6', 'C0H5I7', 'O97282', 'Q8IAR3'}	0.7440683859750795	35	0.40680612496400187	True	True
6	{'Q8II80', 'Q8I3I6', 'Q8ILG6', 'Q8I2X4'}	0.6439244663382594	4	0.3561561463895581	True	True
7	{'Q8I0X1', 'O97227', 'Q8IBM9', 'P61076', 'Q8IEJ6', 'Q8IEA6', 'C6KSV3', 'C6KTA3', 'Q8IFP3'}	0.2929363363538698	9	0.3958071944050118	False	True
8	{'Q7KQL5', 'Q8IKF0', 'Q8I0V4', 'A0A5K1K910', 'Q8III5', 'Q9TY94'}	0.4460755336617404	6	0.3990851675735506	True	True
9	{'Q8I0X1', 'O97227', 'P61076', 'Q8IEJ6', 'Q8IL11', 'Q8IEA6', 'C6KSV3'}	0.3985876385838437	7	0.40734716946425636	False	True
10	{'C0H571', 'Q8I2X3', 'Q8IBN4', 'Q8I5J2', 'C6KSV8', 'Q8I484'}	0.2787848932676519	6	0.38710034312630964	False	True
