Gene ID	source_id	P. falciparum Su Seven Stages RNA Seq data - Early Trophozoite - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Late Trophozoite - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Schizont - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte II - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Gametocyte V - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ookinete - nonunique (3D7 7Stages RNA-Seq)	P. falciparum Su Seven Stages RNA Seq data - Ring - nonunique (3D7 7Stages RNA-Seq)
PF3D7_0101300	PF3D7_0101300.1	43.89	2.43	0.13	3.08	11.08	8.68	10.24
PF3D7_0102700	PF3D7_0102700.1	2.63	3.84	0.37	3.5	19.45	163.05	13.55
PF3D7_0103600	PF3D7_0103600.1	11.06	8.17	1.52	8.43	52.67	56.53	10.03
PF3D7_0104100	PF3D7_0104100.1	0.88	22.65	70.67	1.4	21.73	17.36	4.84
PF3D7_0104500	PF3D7_0104500.1	26.75	20.71	1.87	33.69	104.19	37.21	81.09
PF3D7_0108600	PF3D7_0108600.1	897.3	1077.19	884.81	178.13	263.52	395.43	29391.37
PF3D7_0110000	PF3D7_0110000.1	5.33	25.51	6.93	606.65	788.9	987.36	17.39
PF3D7_0110100	PF3D7_0110100.1	12.59	10.19	1.37	14.18	115.39	60.5	24.42
PF3D7_0110600	PF3D7_0110600.1	202.74	78.63	17.84	15.16	31.55	472.36	456.08
PF3D7_0110900	PF3D7_0110900.1	10.77	3.8	0.51	9.49	31.49	17.58	38.32
PF3D7_0111800	PF3D7_0111800.1	13.5	11.77	1.27	3.22	18.03	40.76	12.18
PF3D7_0113000	PF3D7_0113000.1	2488.17	89.54	6.44	23.55	8.37	129.16	883.82
PF3D7_0114500	PF3D7_0114500.1	4.22	0.57	1.88	2.48	18.29	0	4.53
PF3D7_0114600	PF3D7_0114600.1	0.79	0.22	0.17	0.09	0.71	0	9.56
PF3D7_0114750	PF3D7_0114750.1	1.04	0	0	0	0.75	0	4.11
PF3D7_0114800	PF3D7_0114800.1	5.83	0.11	0	0.25	0.21	0	9.2
PF3D7_0115200	PF3D7_0115200.1	37.34	2.27	0.28	1.09	1.44	0	24.33
PF3D7_0115500	PF3D7_0115500.1	2.13	1.47	0.84	0.99	13.46	0	17.19
PF3D7_0202300	PF3D7_0202300.1	5.92	0.5	0.13	0.99	2.94	0	9.78
PF3D7_0202900	PF3D7_0202900.1	0.45	9.68	1.25	10.96	100.23	28.65	6.05
PF3D7_0204500	PF3D7_0204500.1	12.37	12.9	1.6	0.96	1.16	31.09	56.77
PF3D7_0206900	PF3D7_0206900.1	5.32	16.27	6.76	6.33	3.66	85.22	6.4
