Gene ID	source_id	sense - ring	sense - schizont	sense - troph	antisense - ring	antisense - schizont	antisense - troph	sense - Late Trophozoite	sense - Schizont	sense - Gametocyte II	sense - Gametocyte V	sense - asexual blood stages	sense - midgut oocysts	sense - salivary gland sporozoites	sense - 40-5 hours post-invasion	sense - 2-10 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 32-40 hours post-invasion	sense - 27-35 hours post-invasion	sense - 22-30 hours post-invasion	sense - T05	sense - T10	sense - T15	sense - T20	sense - T30	sense - T25	sense - T35	sense - T40
PF3D7_0100100	PF3D7_0100100.1	10.89	62.92	13.82	2.66	8.9	2.69	2.62	36.02	2.53	3.38	2.27	0.44	5.05	28.59	7.86	4.35	5.9	12.65	25.41	8.72	10.62	21.12	8.08	4.99	8.15	6.97	9.74	10.15	31.13
PF3D7_0100200	PF3D7_0100200.1	3.76	3.11	0.28	10.67	1.21	1.97	0	0.33	1.09	3.66	0	0	1.86	12.27	10.43	12.6	8.79	4.38	22.17	3.82	4.13	6.53	3.15	4.49	3.29	2.8	1.65	6.03	18.87
PF3D7_0100300	PF3D7_0100300.1	0.45	0.11	0.3	0.45	0.08	0.49	1.04	12.94	0.16	0.47	4.48	0.23	5.37	0.51	0.64	0.57	0.64	0.56	0.68	0.47	0.63	0.21	0.5	1.12	0.24	0.16	0.21	0.43	2.36
PF3D7_0100400	PF3D7_0100400.1	4.18	3.28	2.5	19.34	10.65	6.55	0	0	0.58	0.26	1.43	0.06	1.01	0.74	0.57	0.64	0.24	0.24	4.29	0.76	0.36	2.27	0.51	0	0.21	0.19	0	1.73	2.37
PF3D7_0100500	PF3D7_0100500.1	0	0	0	9.56	6.88	6.25	0	2.91	1.93	0	0	0	10.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6
PF3D7_0100600	PF3D7_0100600.1	0.99	0.31	0.65	6.31	1.34	0.32	0.19	0	0.2	0.27	0	0	0.22	0	0.24	0.13	0.17	0	0	0	0	0	0	0	0	0	0	0	0.67
PF3D7_0100700	PF3D7_0100700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72
PF3D7_0100800	PF3D7_0100800.1	0	0	0.27	0.52	0	0	0.2	0	0.84	0.29	0	0	0.23	0	0	0	0	0.13	0.06	0	0	0	0	0	0	0	0	0	0.7
PF3D7_0100900	PF3D7_0100900.1	0	0.32	0	0	0	0.27	0.2	0	0.41	0.09	0.23	0.06	0.85	0.11	0.12	0.27	0	0.25	0.12	0	0.76	0	0	0.8	0	0	0	0	1.14
PF3D7_0101000	PF3D7_0101000.1	1.86	0	0	0	0	0.26	0.19	0	0.2	0.09	0	0	0.45	0.22	0.48	0.53	0.17	0.37	0.11	0	0.12	0	0.26	0	0.43	0	0.19	0	0.22
PF3D7_0101100	PF3D7_0101100.1	29.26	2.24	2.15	3.09	0	0	11.58	3.16	1.4	0.95	10.9	0	2.26	220.51	520.88	776.81	502.2	426.59	20.04	34.56	141.47	126.45	350.81	436.71	340.78	39.21	151.03	17.08	6.22
PF3D7_0101200	PF3D7_0101200.1	28.62	0	0.81	0	0	0	2.09	1.41	0.31	0.14	3.34	0	1.98	68.16	161.94	189.6	115.48	85.76	2.13	3.3	26.98	28.55	77.37	78.6	54.42	6.81	21.93	1.86	3.48
PF3D7_0101300	PF3D7_0101300.1	0.59	0	0	0	0.63	0	6.22	0.53	0.7	0.08	0	0	0.59	0.39	0.31	0.93	1.11	2.68	0.6	0.89	3.55	1.38	0.46	1.59	5.32	2.44	7.67	0.87	4.69
PF3D7_0101400	PF3D7_0101400.1	0.65	0	1.17	0	0	0	0	0.79	4.7	3.09	0.97	0.28	2.73	0.72	1.7	1.38	2.09	1.6	0.07	0.2	0.64	0.34	1.03	1.01	1.13	0	0	0.52	4.95
PF3D7_0101500	PF3D7_0101500.1	0.65	0.2	0.21	3.17	0.47	1.18	1.01	12.28	0.92	1.32	1.12	0	5.61	1.3	0.86	0.52	1	2.65	3.74	2.57	1.93	0.86	0.17	0.34	0	0.65	0.75	1.3	5.12
PF3D7_0101600	PF3D7_0101600.1	4.04	0	0	6.63	0.39	0.63	0.75	0	0.39	0.36	0	0	0.44	0.21	0.92	1.29	0.74	0.24	0.33	0.3	0	0	0.51	0.25	0	0	0	0.19	3.47
PF3D7_0101700	PF3D7_0101700.1	0.39	0	0.77	0.54	0	0	0	0	0.16	6.02	3.17	0	3.33	0.26	0.57	0.1	0.4	0.97	0.23	0.25	0.68	0.21	0.21	0	0	0	0.15	0.47	2.84
PF3D7_0101800	PF3D7_0101800.1	0.62	0	0	0	0	0.4	0.48	0	0.25	0.11	0	0	1.58	0.27	0.44	0.98	0.1	0	0	0.49	0.15	0	0	0	0	0	0	0.49	0.28
PF3D7_0101900	PF3D7_0101900.1	6.28	0	0.34	1.23	0	0	0	0.32	0	0	0	0	0.7	0.34	3.73	1.11	1.15	0.38	0	0.08	0.13	0	1.38	0.27	0	0	0	0	2.57
PF3D7_0102000	PF3D7_0102000.1	8.54	1.01	0	0	0	0	0	0	0	0	0	0	1.17	0.31	0.17	0.75	0.12	0	0	0	0	0.74	1.88	1.1	1.23	0.85	0	0.57	7.62
PF3D7_0102100	PF3D7_0102100.1	0	0	0	10.19	0.52	0	0.24	0	0.26	0	0	0	2.48	0	1.06	0.51	0.54	0.78	0.22	0.3	1.25	0.33	0.34	0	0.28	1.01	0.97	0.51	5.69
PF3D7_0102200	PF3D7_0102200.1	6092.75	2406.52	30.9	773.4	294.67	3.55	0.53	88.43	4.54	2.93	919.83	0.02	2.7	22898.89	16592.01	4842.36	673.93	100.8	7.04	7.65	98.26	34928.27	25967.39	5530.3	573.93	29.19	109.7	17.34	193.79
PF3D7_0102300	PF3D7_0102300.1	14.97	68.05	280.24	1.01	1.62	10.97	208.21	30.7	2.32	0.12	3.52	0.95	0.56	7.12	3.65	2.07	0.98	11.93	196.84	349.43	137.24	22.86	9.73	1.24	2.52	557.52	119.21	542.97	175.91
PF3D7_0102400	PF3D7_0102400.1	17.17	39.59	47.07	4.23	8.86	6.61	9.17	4.81	14.28	7.27	30.5	1.05	2.74	14.94	3.56	1.36	1.11	9.4	27.72	31.06	16.69	28.22	13.12	3.15	6.1	54.93	25.49	64.47	73.19
PF3D7_0102500	PF3D7_0102500.1	374.41	933.27	3.07	69.71	147.46	0.72	0.48	67.5	0.74	0.62	1.6	0.18	2.84	1670.9	454.8	84	17.37	5.56	9.73	4.81	8.27	1260.08	523.75	68.99	8.06	4.99	2.62	6.13	85.31
PF3D7_0102600	PF3D7_0102600.1	52.03	6.86	12.59	11.39	3.35	2.42	1.4	0.86	2.29	2.92	5.57	0.55	6.58	3.2	5.76	9.09	32.13	65.24	4.53	12.66	21.41	15.52	15.4	41.4	154.56	46.97	83.18	23.19	10.54
PF3D7_0102700	PF3D7_0102700.1	145.1	41.68	8.74	15.12	3.59	1.57	5.29	8.33	7.97	4.74	21.48	2	30.72	96.61	65.92	37.47	9.91	8.16	3.36	7.14	8.2	206.27	200.8	64.23	27.42	22.56	19.77	13.78	11.88
