Gene ID	source_id	P. falciparum Newbold mRNA Seq data - 0 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 8 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 16 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 24 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 32 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 40 hours - nonunique (Pf3D7 blood stage RNA-Seq)	P. falciparum Newbold mRNA Seq data - 48 hours - nonunique (Pf3D7 blood stage RNA-Seq)
PF3D7_0101300	PF3D7_0101300.1	7.46	8.37	16.53	183.76	19.74	12.59	16.74
PF3D7_0102700	PF3D7_0102700.1	287.96	99.95	20.07	15.19	17.23	25.8	25.5
PF3D7_0103600	PF3D7_0103600.1	10.23	13.5	10.31	33.91	27.1	11.05	12
PF3D7_0104100	PF3D7_0104100.1	35.3	13.9	3.34	8.04	41.65	86.91	87.53
PF3D7_0104500	PF3D7_0104500.1	51.66	146.5	131.65	248.09	118.69	63.28	51.48
PF3D7_0108600	PF3D7_0108600.1	11600.56	5748.14	1664.86	226.09	122.08	234.26	218.01
PF3D7_0110000	PF3D7_0110000.1	84.37	84.8	52.65	145.3	175.02	70.29	71.71
PF3D7_0110100	PF3D7_0110100.1	52.22	74.63	45.17	82.13	83.63	41.56	47.14
PF3D7_0110600	PF3D7_0110600.1	246.81	281.63	188.53	126.62	75.29	65.48	69.07
PF3D7_0110900	PF3D7_0110900.1	31.64	53	17.16	157.35	60.76	25	27.96
PF3D7_0111800	PF3D7_0111800.1	34.31	45.58	45.91	99.44	92.56	51.99	55.94
PF3D7_0113000	PF3D7_0113000.1	40.29	108.94	340.29	433.66	83.52	41.01	42.34
PF3D7_0114500	PF3D7_0114500.1	6.43	6.61	16.22	7.31	1.74	2.89	4.68
PF3D7_0114600	PF3D7_0114600.1	1.22	0.69	0.53	0.44	0	5.29	7.12
PF3D7_0114750	PF3D7_0114750.1	3.24	0	0	2.33	0	10.51	3.15
PF3D7_0114800	PF3D7_0114800.1	0	1.02	2.35	2.61	0	0.98	0.88
PF3D7_0115200	PF3D7_0115200.1	2.59	1.75	1.79	3.73	5.91	6.16	4.53
PF3D7_0115500	PF3D7_0115500.1	4.86	3.97	3.06	2.86	2.88	6.21	5.15
PF3D7_0202300	PF3D7_0202300.1	20.3	6.89	6.94	147.86	43.84	18.37	16.04
PF3D7_0202900	PF3D7_0202900.1	29.08	15.02	3.99	28.18	121.79	146.61	146.96
PF3D7_0204500	PF3D7_0204500.1	118.39	237.15	98.86	360.05	271.45	124.96	111.38
PF3D7_0206900	PF3D7_0206900.1	164.76	113.8	12.18	63.71	115.26	404.69	417.93
PF3D7_0206900	PF3D7_0206900.2	164.76	113.8	12.18	63.71	115.26	404.69	417.93
PF3D7_0207700	PF3D7_0207700.1	286.32	51.15	23.77	52.22	718.23	749.27	734.14
PF3D7_0208000	PF3D7_0208000.1	33.41	12.15	2.71	5.07	19.67	38.8	39.13
PF3D7_0208700	PF3D7_0208700.1	53.09	95.86	84.36	333.63	194.57	118.46	117.63
PF3D7_0208800	PF3D7_0208800.1	133.3	215.58	105.39	129.29	99.46	74.95	75.69
PF3D7_0209700	PF3D7_0209700.1	316.48	351.13	126.67	152.6	55.88	63.01	70.76
PF3D7_0209800	PF3D7_0209800.1	347.36	440.8	352.16	751.65	714.85	160.04	161.21
PF3D7_0209900	PF3D7_0209900.1	99.07	143.49	37.78	59.68	22.56	26.47	29.99
PF3D7_0211100	PF3D7_0211100.1	7.92	7.38	4.27	29.73	11.44	9.04	13.35
PF3D7_0211300	PF3D7_0211300.1	26.35	21.05	3.95	26.21	66.04	39.42	33.45
PF3D7_0212400	PF3D7_0212400.1	82.58	121.02	44.16	78.78	67.57	53.22	57.56
PF3D7_0213200	PF3D7_0213200.1	36.25	31.72	8.3	116.78	91.18	63.94	60.03
PF3D7_0214600	PF3D7_0214600.1	75.14	76.24	4.64	8.15	6.45	104.94	101.97
PF3D7_0215100	PF3D7_0215100.1	77.16	79.34	54.56	128.63	111	190.15	173.03
PF3D7_0215300	PF3D7_0215300.1	126.95	157.23	61.12	29.91	8.56	18.51	18.7
PF3D7_0215700	PF3D7_0215700.1	152.26	215.22	154.84	196.08	166.72	61.42	60.8
PF3D7_0215900	PF3D7_0215900.1	80.67	22.22	3.17	15.8	75.25	121.22	106.77
PF3D7_0216200	PF3D7_0216200.1	73.98	158.16	77.48	128.66	72.95	32.62	33.71
PF3D7_0216300	PF3D7_0216300.1	26.79	47.88	25.21	53.17	35.79	22.73	22.59
PF3D7_0217400	PF3D7_0217400.1	38.11	36.72	13.74	70.71	144.32	118.03	133.48
PF3D7_0218200	PF3D7_0218200.1	15.37	25.32	12.56	30.18	27.56	26.05	26.69
PF3D7_0218300	PF3D7_0218300.1	35.59	33.7	22.45	157.87	209.51	140.57	140.33
PF3D7_0218700	PF3D7_0218700.1	143.26	162.12	70.46	61.22	45.51	27.63	25.51
PF3D7_0218900	PF3D7_0218900.1	312.22	491.42	90.02	262.89	286.42	120.19	104.5
PF3D7_0219000	PF3D7_0219000.1	280.1	361.54	54.51	105.61	57.03	68.09	13.59
PF3D7_0219700	PF3D7_0219700.1	1285.83	866.39	116.78	103.6	56.94	75.97	75.67
PF3D7_0220700	PF3D7_0220700.1	707.53	423.28	112.26	218.1	49.31	57.41	57.83
PF3D7_0221100	PF3D7_0221100.1	0.73	2.47	0	2.11	1.19	4.75	0.71
PF3D7_0221600	PF3D7_0221600.1	3.7	5.19	0	0.66	0	8.99	7.18
PF3D7_0223300	PF3D7_0223300.1	17.28	21.38	15.71	3.82	1.44	6.7	8.6
PF3D7_0300500	PF3D7_0300500.1	2.13	2.98	0.46	1.53	2.6	4.6	3.61
PF3D7_0301900	PF3D7_0301900.1	22.21	20.88	2.88	45.86	75.98	41.7	37.46
PF3D7_0302300	PF3D7_0302300.1	142.69	336.38	237.81	70.66	11.43	14.72	12.29
PF3D7_0302400	PF3D7_0302400.1	66.69	41.83	2.97	5.99	8.79	116.55	108.04
PF3D7_0302500	PF3D7_0302500.1	751.36	556.13	92.45	427.61	636.55	3683.96	3753.15
PF3D7_0303500	PF3D7_0303500.1	34.49	25.3	9.58	28.86	54.75	37.61	40.18
PF3D7_0303800	PF3D7_0303800.1	32.22	26.69	11.11	76.58	58.73	48.48	51.19
PF3D7_0305800	PF3D7_0305800.1	4.29	4.62	1.34	3.08	2.24	6.86	8.33
PF3D7_0306900	PF3D7_0306900.1	207.18	305.66	291.9	632.37	1033.25	106.26	100.81
PF3D7_0307300	PF3D7_0307300.1	6.37	7.15	2.27	3.5	2.44	6.07	8.36
PF3D7_0307700	PF3D7_0307700.1	73.66	47.84	26.32	47.19	77.59	85.93	82.57
PF3D7_0309100	PF3D7_0309100.1	21.09	19.85	4.12	10.26	11.08	14.7	11.89
PF3D7_0310200	PF3D7_0310200.1	72.94	81.83	47.78	45.53	26.88	22.97	20.56
PF3D7_0310300	PF3D7_0310300.1	93.81	178.42	99.32	84.37	49.09	26.14	30.49
PF3D7_0310800	PF3D7_0310800.1	339.16	379.47	282.22	382.31	171.32	96.24	106.26
PF3D7_0311600	PF3D7_0311600.1	34.83	28.93	9.36	89.46	148.4	48.47	53.1
PF3D7_0312000	PF3D7_0312000.1	11.04	11.44	2.94	38.43	135.58	51.39	48.64
PF3D7_0312100	PF3D7_0312100.1	37.22	22.49	7.56	26.62	70.43	81.39	85.99
PF3D7_0313300	PF3D7_0313300.1	75.98	43.18	8.32	104.3	181.72	86.25	78.42
PF3D7_0314200	PF3D7_0314200.1	24.82	17.75	6.1	33.46	61.82	46.53	46.29
PF3D7_0314700	PF3D7_0314700.1	49.95	50.63	41.67	31.61	17.4	14.96	15.55
PF3D7_0314800	PF3D7_0314800.1	24.81	7.78	0.8	3.76	11.04	38.63	38.74
PF3D7_0314900	PF3D7_0314900.1	67.44	46.17	8.69	17.35	37.01	60.46	68.71
PF3D7_0316100	PF3D7_0316100.1	31.56	22.31	6.02	24.8	40.87	49.12	52.58
PF3D7_0317200	PF3D7_0317200.1	107.39	50.97	19.47	50.73	165.92	219.59	226.05
PF3D7_0317800	PF3D7_0317800.1	79.15	148.6	100.52	160.45	124.82	52.86	56.92
PF3D7_0318900	PF3D7_0318900.1	98.73	135.38	78.15	230.27	213.9	197.73	200.93
PF3D7_0319400	PF3D7_0319400.1	41.7	19.3	8.72	13.41	95.28	44.2	47.48
PF3D7_0320200	PF3D7_0320200.1	10.43	11.38	3.51	11.44	17.93	11.58	11.53
PF3D7_0320400	PF3D7_0320400.1	3.85	5.01	2.04	3.47	5.15	11.73	11.86
PF3D7_0320700	PF3D7_0320700.1	218.04	81.4	37.96	373.23	747.9	645.3	703.98
PF3D7_0323000	PF3D7_0323000.1	20.49	64.32	31.84	85.58	58.11	46.33	54.15
PF3D7_0324600	PF3D7_0324600.1	1.9	2.13	2.74	10.01	2.06	6.16	6.77
PF3D7_0400700	PF3D7_0400700.1	2.01	3.38	0.87	3.61	3.27	9.23	5.85
PF3D7_0401300	PF3D7_0401300.1	1.02	0.57	2.2	2.56	4.15	9.35	4.94
PF3D7_0401400	PF3D7_0401400.1	2.9	1.95	1	2.92	0	9.4	3.38
PF3D7_0403500	PF3D7_0403500.1	30.77	26.65	16.49	98.23	86.06	82.74	85.37
PF3D7_0403700	PF3D7_0403700.1	98.2	130.95	89.85	138.95	71.78	58.28	58.75
PF3D7_0403900	PF3D7_0403900.1	40.35	25.04	6.55	12.86	35.44	62.78	64.16
PF3D7_0406000	PF3D7_0406000.1	43.7	57.93	35.19	92.99	102.99	139.89	155.02
PF3D7_0406400	PF3D7_0406400.1	80.27	151.31	123.43	170.71	98.89	57.44	62.93
PF3D7_0406800	PF3D7_0406800.1	26.59	13.97	9.79	49.97	70.03	54.4	57.66
PF3D7_0407800	PF3D7_0407800.1	170.01	118.17	21.48	14.47	61.19	224.78	223.16
PF3D7_0409400	PF3D7_0409400.1	53.65	90.89	94.22	173.74	107.31	34.82	38.61
PF3D7_0409900	PF3D7_0409900.1	38.17	39.83	8.4	29.34	15.27	83.92	93.6
PF3D7_0410200	PF3D7_0410200.1	0	8.83	0	0	0	8.5	7.64
PF3D7_0410400	PF3D7_0410400.1	70.17	94.84	67.69	147.48	65.82	30.16	34.23
PF3D7_0410700	PF3D7_0410700.1	41.21	37.31	15.08	30.04	46.03	99	99.94
PF3D7_0411500	PF3D7_0411500.1	0	8.95	0	0	0	8.62	7.74
PF3D7_0411700	PF3D7_0411700.1	13.77	13.91	1.19	3.96	4.49	4.46	8.02
PF3D7_0411800	PF3D7_0411800.1	22.51	14.89	8.14	10.91	34.05	22.5	22.01
PF3D7_0413100	PF3D7_0413100.1	12.17	40.62	38.49	6.85	5.49	8.98	8.94
PF3D7_0414200	PF3D7_0414200.1	56.54	22.37	5.61	16.97	193.24	126.67	131.35
PF3D7_0414200	PF3D7_0414200.2	56.54	22.37	5.61	16.97	193.24	126.67	131.35
PF3D7_0414800	PF3D7_0414800.1	68.12	45.08	1.95	3	4.71	54.5	45.54
PF3D7_0415100	PF3D7_0415100.1	81.65	181.94	59.28	66.77	67.46	39.6	47.72
PF3D7_0415300	PF3D7_0415300.1	103.11	142.72	98.42	104.21	55.79	30.54	27.33
PF3D7_0418500	PF3D7_0418500.1	90.47	90.96	59.78	194.46	470.7	98.41	119.52
