Gene ID	source_id	sense - 2-10 hours post-invasion	sense - 40-5 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 22-30 hours post-invasion	sense - 27-35 hours post-invasion	sense - 32-40 hours post-invasion
PF3D7_0101300	PF3D7_0101300.1	0.31	0.39	0.93	1.11	2.68	3.55	0.89	0.6
PF3D7_0102700	PF3D7_0102700.1	65.92	96.61	37.47	9.91	8.16	8.2	7.14	3.36
PF3D7_0103600	PF3D7_0103600.1	7.94	14.36	14.75	23.76	78.82	80.22	76.63	42.41
PF3D7_0104100	PF3D7_0104100.1	3.36	21.72	1.29	0.55	0.61	0.89	9.62	75.18
PF3D7_0104500	PF3D7_0104500.1	42.65	6.48	101.18	116.19	190.41	206.67	154.03	42.45
PF3D7_0108600	PF3D7_0108600.1	1.49	3.65	2.79	1.02	2.83	14.65	33.52	26.76
PF3D7_0110000	PF3D7_0110000.1	59.06	47.71	46.41	45.91	64.88	113.53	102.03	79.73
PF3D7_0110100	PF3D7_0110100.1	10.73	2.88	21.32	28.62	32.99	38.88	38.41	23.4
PF3D7_0110600	PF3D7_0110600.1	227.1	218.01	227.53	178.06	145.36	126.07	118.9	108.22
PF3D7_0110900	PF3D7_0110900.1	9.49	1.95	32.38	60.87	115.56	102.2	59.76	16.85
PF3D7_0111800	PF3D7_0111800.1	4.94	7.09	22.74	60.47	136.17	134.39	124.66	73.06
PF3D7_0113000	PF3D7_0113000.1	549.09	40.5	1393.39	1168.3	544.51	979.69	592.34	89.63
PF3D7_0114500	PF3D7_0114500.1	5.5	15.61	9.05	30.44	104.1	19.42	9	8.89
PF3D7_0114600	PF3D7_0114600.1	0	0.13	0	0	0.42	0.99	0.45	0.13
PF3D7_0114750	PF3D7_0114750.1	0	0	0	0	0.75	0	0	0
PF3D7_0114800	PF3D7_0114800.1	0.2	0	0.23	0.43	0	0	0	0
PF3D7_0115200	PF3D7_0115200.1	0.12	0.21	0.13	0	0	0	0.15	0.17
PF3D7_0115500	PF3D7_0115500.1	0	0.27	0.11	0.21	0.61	0.1	0.26	0.28
PF3D7_0202300	PF3D7_0202300.1	7.7	2.54	1.76	5.7	48.22	55.41	13.77	2.07
PF3D7_0202900	PF3D7_0202900.1	2.58	14.5	1.49	0.44	1.27	14.93	34.14	48.22
PF3D7_0204500	PF3D7_0204500.1	59.7	14.21	98.54	93.75	119.5	108.02	98.61	53.27
PF3D7_0206900	PF3D7_0206900.1	156.72	776.02	28.16	7.71	29.07	70.58	75.83	34.74
PF3D7_0206900	PF3D7_0206900.2	156.72	776.02	28.16	7.71	29.07	70.58	75.83	34.74
PF3D7_0207700	PF3D7_0207700.1	13.56	100.45	2.2	0.83	0.28	1.93	74.06	621.82
PF3D7_0208000	PF3D7_0208000.1	4.52	28.82	1.91	1.05	1.19	2.21	10.47	100.18
