Gene ID	source_id	Gene Name or Symbol	sense - male gametocyte - unique only	sense - female gametocyte - unique only	sense - male gametocyte	sense - female gametocyte
PF3D7_0100100	PF3D7_0100100.1	VAR	28.57	13.66	31.03	16.23
PF3D7_0100200	PF3D7_0100200.1	RIF	0	0.32	0	0.32
PF3D7_0100300	PF3D7_0100300.1	VAR	0	0	0.32	0.4
PF3D7_0100400	PF3D7_0100400.1	RIF	0.09	0.14	0.09	0.14
PF3D7_0100500	PF3D7_0100500.1	N/A	1.96	0	1.96	0
PF3D7_0100600	PF3D7_0100600.1	RIF	0	0	0.2	0
PF3D7_0100700	PF3D7_0100700.1	N/A	0	0	0	0
PF3D7_0100800	PF3D7_0100800.1	RIF	0.53	0.15	0.53	0.15
PF3D7_0100900	PF3D7_0100900.1	RIF	0.6	0	0.6	0
PF3D7_0101000	PF3D7_0101000.1	RIF	0.2	0	0.2	0
PF3D7_0101100	PF3D7_0101100.1	EPF4	0	0	0.24	0.17
PF3D7_0101200	PF3D7_0101200.1	EPF3	0	0	0	0.23
PF3D7_0101300	PF3D7_0101300.1	MC-2TM	0	0	0.53	0
PF3D7_0101400	PF3D7_0101400.1	EPF1	0	0	2.77	10.44
PF3D7_0101500	PF3D7_0101500.1	VAR	0.06	0	4.73	4.08
PF3D7_0101600	PF3D7_0101600.1	RIF	0.29	0	0.49	0
PF3D7_0101700	PF3D7_0101700.1	VAR	0	0	0.48	2.47
PF3D7_0101800	PF3D7_0101800.1	N/A	0	0	0	0
PF3D7_0101900	PF3D7_0101900.1	RIF	0.2	0	0.2	0
PF3D7_0102000	PF3D7_0102000.1	N/A	0.42	0	0.42	0
PF3D7_0102100	PF3D7_0102100.1	N/A	0.26	0	0.26	0
PF3D7_0102200	PF3D7_0102200.1	RESA	0.46	0.19	0.46	0.19
PF3D7_0102300	PF3D7_0102300.1	N/A	14.45	0.1	14.45	0.1
PF3D7_0102400	PF3D7_0102400.1	N/A	58.36	32.66	58.36	32.66
PF3D7_0102500	PF3D7_0102500.1	EBA181	4.5	0.08	4.5	0.08
PF3D7_0102600	PF3D7_0102600.1	FIKK1	41.86	9.21	41.86	9.21
PF3D7_0102700	PF3D7_0102700.1	MaTrA	22.79	4.19	22.79	4.19
PF3D7_0102800	PF3D7_0102800.1	N/A	6.67	6.49	6.67	6.49
PF3D7_0102900	PF3D7_0102900.1	N/A	26.44	71.25	26.68	71.25
PF3D7_0103000	PF3D7_0103000.1	N/A	76.82	40.97	77.78	40.97
PF3D7_0103100	PF3D7_0103100.1	VPS51	23.02	27.42	23.17	27.42
PF3D7_0103200	PF3D7_0103200.1	NT4	13.6	61.24	13.6	61.24
PF3D7_0103300	PF3D7_0103300.1	N/A	56.65	32.14	56.65	32.19
PF3D7_0103400	PF3D7_0103400.1	N/A	152.71	384.87	153.53	386.65
PF3D7_0103500	PF3D7_0103500.1	N/A	32.62	10.33	32.87	10.54
PF3D7_0103600	PF3D7_0103600.1	PSH1	67.8	67.74	67.8	67.74
PF3D7_0103700	PF3D7_0103700.1	PSTK	53.89	41.7	53.89	41.7
PF3D7_0103800	PF3D7_0103800.1	ARP1	26.34	599.01	26.34	601.87
PF3D7_0103900	PF3D7_0103900.1	PIESP15	12.22	52.25	12.22	52.25
PF3D7_0104000	PF3D7_0104000.1	TRSP	2.81	0.65	2.81	0.65
PF3D7_0104100	PF3D7_0104100.1	N/A	1.66	32.49	1.66	32.49
PF3D7_0104200	PF3D7_0104200.1	N/A	12.96	25.95	12.96	25.95
PF3D7_0104300	PF3D7_0104300.1	UBP1	71.09	31.69	71.25	31.79
PF3D7_0104400	PF3D7_0104400.1	LytB	29.23	228.88	29.23	228.94
PF3D7_0104500	PF3D7_0104500.1	N/A	15.18	38.83	15.18	38.83
PF3D7_0104600	PF3D7_0104600.1	N/A	5.62	2.55	5.97	2.65
PF3D7_0104700	PF3D7_0104700.1	MFR2	2.35	28.55	2.35	28.55
PF3D7_0104800	PF3D7_0104800.1	NPT1	18.47	3.04	18.51	3.04
PF3D7_0104900	PF3D7_0104900.1	N/A	38.37	27.03	41.79	29.63
PF3D7_0105000	PF3D7_0105000.1	N/A	304.42	218.3	307.62	220.72
PF3D7_0105100	PF3D7_0105100.1	N/A	4.14	4.4	4.14	4.4
PF3D7_0105200	PF3D7_0105200.1	RAP1	29.17	20.47	29.17	20.47
PF3D7_0105300	PF3D7_0105300.1	CAP	170.5	78.77	170.5	78.77
PF3D7_0105400	PF3D7_0105400.1	N/A	0.89	17.05	0.89	17.05
PF3D7_0105400	PF3D7_0105400.2	N/A	0.89	17.05	0.89	17.05
PF3D7_0105500	PF3D7_0105500.1	N/A	2.16	34.96	2.16	34.96
PF3D7_0105600	PF3D7_0105600.1	N/A	21.29	18.51	21.29	18.51
PF3D7_0105700	PF3D7_0105700.1	N/A	77.93	35.38	77.93	35.38
PF3D7_0105800	PF3D7_0105800.1	N/A	28.4	36.31	28.4	36.31
PF3D7_0105900	PF3D7_0105900.1	N/A	8.88	100.66	8.88	100.72
PF3D7_0106000	PF3D7_0106000.1	N/A	3.23	16.36	3.23	16.36
PF3D7_0106100	PF3D7_0106100.1	N/A	59.25	13.37	59.25	13.37
PF3D7_0106200	PF3D7_0106200.1	N/A	2.16	33.74	2.16	33.74
PF3D7_0106300	PF3D7_0106300.1	ATP6	76.75	44.14	76.75	44.14
PF3D7_0106400	PF3D7_0106400.1	N/A	17.69	40.45	17.69	40.45
PF3D7_0106500	PF3D7_0106500.1	N/A	58.66	13.17	58.71	13.17
PF3D7_0106600	PF3D7_0106600.1	N/A	5.09	2.31	5.09	2.31
PF3D7_0106700	PF3D7_0106700.1	AARP2	24.35	63.66	24.35	63.66
PF3D7_0106800	PF3D7_0106800.1	RAB5c	10.76	54.23	10.76	54.23
PF3D7_0106900	PF3D7_0106900.1	IspD	40.19	64.22	40.27	64.22
PF3D7_0107000	PF3D7_0107000.1	CEN1	1449.56	261.31	1449.77	261.61
PF3D7_0107100	PF3D7_0107100.1	N/A	21.91	6.28	21.91	6.28
PF3D7_0107200	PF3D7_0107200.1	CCR4-3	11.29	7.37	11.29	7.37
PF3D7_0107300	PF3D7_0107300.1	N/A	24.04	137.2	24.04	137.2
PF3D7_0107400	PF3D7_0107400.1	ATPk	72.41	32.24	72.41	32.24
PF3D7_0107500	PF3D7_0107500.1	NCR1	68.94	17.15	69.06	17.15
PF3D7_0107600	PF3D7_0107600.1	eIK2	53.92	27.09	53.92	27.09
PF3D7_0107700	PF3D7_0107700.1	N/A	61.99	64.82	62.62	64.82
PF3D7_0107800	PF3D7_0107800.1	MRE11	15.12	12.23	15.31	12.23
PF3D7_0107900	PF3D7_0107900.1	N/A	19.6	91.32	19.6	91.32
PF3D7_0108000	PF3D7_0108000.1	N/A	41.34	87.85	41.34	87.85
PF3D7_0108100	PF3D7_0108100.1	N/A	3.75	50.5	3.75	50.5
PF3D7_0108300	PF3D7_0108300.1	ARP	188.07	116	188.07	116.11
PF3D7_0108400	PF3D7_0108400.1	N/A	12.15	52.83	12.15	52.83
PF3D7_0108400	PF3D7_0108400.2	N/A	12.15	52.83	12.15	52.83
PF3D7_0108500	PF3D7_0108500.1	N/A	22.48	45.91	22.48	46.1
