	Accession ID	Gene ID	Product Description	Neighbours	essential	Degree	Betweenness Centrality	Closeness Centrality
0	C6KST3	PF3D7_0608500	proteasome subunit alpha type-2, putative	['O77323', 'O97247', 'Q8I0U7', 'C0H5H0', 'O96220', 'Q8I2X4', 'Q8IJW0', 'C6KT34', 'Q7K6A9', 'O77396', 'Q8IK90', 'C6KST5', 'Q8IDG3', 'C0H5I7', 'Q8IKC9', 'Q8IJM0', 'Q8I5C4', 'Q8IJA0', 'O97282', 'O96153', 'Q8I6T3', 'Q8II43', 'Q76NM3', 'Q8I323', 'C0H4C7', 'Q8IDG2', 'Q8I261', 'Q8II71', 'Q8ID43', 'A0A5K1K9F3', 'A0A5K1K7U1', 'Q8IJT1', 'Q8IAR3', 'Q8IBI3']	True	34	0.004398131248759545	0.3531605212791341
1	O97282	PF3D7_0320300	T-complex protein 1 subunit epsilon	['C0H5H0', 'Q8I6T3', 'Q8II43', 'Q8IDZ8', 'Q6ZLZ9', 'Q8IFP3', 'Q76NN6', 'C6KT34', 'Q8I323', 'Q8IDG2', 'Q8ILA4', 'Q8II24', 'C0H5I7', 'Q8IDG3', 'Q8IC01', 'Q8IAR3', 'O96220', 'Q8IBI3', 'Q8IKT2', 'C6KSV2', 'Q8IKC9', 'Q8I5B6', 'Q8II61', 'Q8IE66', 'C6KST3', 'Q8I2X4', 'Q8IJW0', 'C6KTA4', 'O97247', 'Q7K6A9', 'Q8IKW5', 'Q8IJN9', 'C6KST5', 'Q8IBR6', 'Q8IK90', 'O77323', 'Q8IJT1', 'Q8II82', 'Q8I5C4']	True	39	0.01674863937921516	0.396060714753389
2	Q8IKJ0	PF3D7_1464700	ATP synthase (C/AC39) subunit, putative	['Q8IBV7']	True	1	0.0	0.2642315332869932
3	Q8ID43	PF3D7_1366500	nucleoside diphosphate kinase	['Q6ZLZ9', 'Q8IDF6', 'Q8IJN9', 'Q7KQL9', 'Q8ILA4', 'Q8IL58', 'Q8IKK7', 'Q8IKT2', 'Q8IKC9', 'O96153', 'Q8I3R0', 'C6KST3', 'Q8I261', 'Q8IIG6', 'O97247']	True	15	0.0056079339342226505	0.3464591831144447
4	Q8IIA4	PF3D7_1126000	threonine--tRNA ligase	['Q8IBS3', 'Q8IE10', 'Q8IDK7', 'Q8IDZ9', 'Q8ILP6', 'Q8IAX5', 'Q8IDJ8']	True	7	0.008289668869693657	0.3121093837629271
5	Q8ILQ7	PF3D7_1419300	glutathione S-transferase	['C6KTA3', 'Q6ZLZ9', 'Q76NN6', 'Q8IIG6']	True	4	0.0001289356207896492	0.2822009111303127
6	C0H571	PF3D7_0929400	high molecular weight rhoptry protein 2	['Q8IKC8', 'Q8IBN4', 'Q6ZMA7', 'Q8I4T3', 'C6KSV8', 'Q8I0V2', 'Q8I5J2', 'Q8II72', 'A0A5K1K9E5']	True	9	0.0024607024518532666	0.31025316822652904
7	C0H5I7	PF3D7_1357800	T-complex protein 1 subunit delta	['Q8IDG2', 'Q8II24', 'C6KST5', 'Q8IDG3', 'C6KTA4', 'Q8I5C4', 'O97282', 'Q8I6T3', 'Q7KQL5', 'Q8IFP3', 'C6KST3', 'Q8IKW5', 'Q8IBR6', 'Q8IK90', 'Q8IJT1', 'Q8IAR3', 'C0H5H0', 'Q8IBI3', 'O77323', 'O97247', 'Q8II43', 'Q8IE66', 'Q6ZLZ9', 'O96220', 'Q8I2X4', 'Q8IJW0', 'Q8IJN9']	True	27	0.006007072723369025	0.37762976111957053
8	Q8IDK7	PF3D7_1349200	glutamate--tRNA ligase	['Q8IC01', 'O97313', 'Q8I0P6', 'Q8IE10', 'Q8IM10', 'Q8IJ60', 'C0H4A6', 'Q8II24', 'Q8IBY4', 'Q8I3R0', 'Q8IDR9', 'Q8IIU8', 'C6KT23', 'Q8IIA4', 'Q8IDB0', 'C0H5C2', 'Q8IAX5', 'C0H5H0', 'Q8IDJ8', 'Q8IL94', 'Q8IJC6', 'Q8IEK3', 'Q8IKW5', 'Q8IL02', 'Q8ILL3', 'Q8ILI2', 'O77381', 'Q8IIA2', 'Q8ILK3']	True	29	0.0087424310025371	0.3884765734070475
9	Q8IKT2	PF3D7_1454700	6-phosphogluconate dehydrogenase, decarboxylating	['Q8I5C4', 'C6KT25', 'Q8IEA6', 'Q8IE66', 'Q8I5P5', 'Q8I3X4', 'O97282', 'Q8ID43', 'O97247', 'Q8IFP3', 'Q8II24', 'P50250', 'Q6ZLZ9', 'P27362', 'Q8IIG6', 'Q8I0X1', 'Q8ILA4', 'C6KTA3', 'Q8I5B6', 'Q8IJN9', 'Q8II61']	True	21	0.004226378349022075	0.3471178507629512
10	A0A143ZZK9	PF3D7_1211900	non-SERCA-type Ca2+ -transporting P-ATPase	['C0H5H0', 'Q8I0V2']	True	2	0.0	0.32721145071919777
11	Q8ILG6	PF3D7_1429800	coatomer subunit beta, putative	['Q8I3I6']	True	1	0.0	0.25166642246907284
12	Q8IBM9	PF3D7_0722400	Obg-like ATPase 1, putative	['Q8IKW5', 'Q8IFP3']	True	2	0.0	0.31452883635023654
13	Q8IM38	PF3D7_1405600	ribonucleoside-diphosphate reductase small chain, putative	['Q8IJN8']	True	1	0.0	0.0026246719160104987
14	Q8ILP6	PF3D7_1420400	glycine--tRNA ligase	['C0H5H0', 'Q8IDZ9', 'Q8IBS3', 'Q8IIA4']	True	4	0.006012270130256665	0.3097268693830574
15	Q8IIB4	PF3D7_1124900	60S ribosomal protein L35, putative	['O00806', 'Q8I0P6', 'Q8IDB0', 'C0H5C2', 'Q8IAX5', 'Q8IM10', 'Q8IJV6', 'Q8I320', 'Q8II61', 'Q8ILL3', 'Q8ILL2', 'C6KT19', 'O77381', 'Q8IBY4', 'A0A5K1K8V8', 'K7NTP5', 'Q8IKM5', 'Q8I3T8', 'Q8IKH8', 'Q8I431', 'O97313', 'Q8IJX8', 'Q8IIM8', 'Q8IIA2', 'Q8IAX6', 'O97285', 'C0H4A6', 'Q8IAX8', 'C6KT18', 'Q8IDR9', 'Q8IET7', 'Q8IIV2', 'Q8I0V2']	True	33	0.0012134239519433028	0.37072891269302
16	Q8IEB8	PF3D7_1319800	conserved Plasmodium protein, unknown function	['Q8IIF0', 'Q8IKC8']	True	2	0.0	0.26596356810096483
17	C6KT25	PF3D7_0618500	malate dehydrogenase	['Q8ILL3', 'Q8IL58', 'Q8I566', 'Q8IAX5', 'Q8IKT2', 'Q8IIA2', 'Q8IKM5', 'Q8IDB0', 'Q7KQL5', 'Q8I3X4', 'Q8IEK3', 'C6KTA3', 'Q8IIR8', 'O97245', 'A0A5K1K910', 'Q8I0V2', 'K7NTP5', 'Q8ILT0', 'Q8I5B6', 'Q8I0P6', 'Q8IJC6', 'Q8IM10', 'Q8IKW5', 'P50250']	True	24	0.021874607145182873	0.38077995724986935
18	Q8IDZ9	PF3D7_1332900	isoleucine--tRNA ligase, putative	['Q8ILP6', 'Q8IIW2', 'Q8IIA4']	True	3	0.00513883133029424	0.25358887430737825
19	Q8IKC8	PF3D7_1471100	exported protein 2	['Q8IIF0', 'C0H571', 'Q8II72', 'Q8IIX5', 'Q8IBN4', 'Q8IEU2', 'Q8I490', 'Q8IJ76', 'Q8IK07', 'Q8IEB8', 'Q8I4T3']	True	11	0.008069513812745751	0.28573394288155296
