"Gene ID","Name/ID/Alias","Type","Source"
"PF3D7_0100100","PFA0005w","previous ID","N/A"
"PF3D7_0100100","A0A5P1A1E9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","A0A5P1A384","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","UPI0000077297","alternate ID","UniParc"
"PF3D7_0100100","VAR-UPSB1","synonym","N/A"
"PF3D7_0100100","A0A5P1A1X2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","A0A5P1A1Y7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","VAR","name","N/A"
"PF3D7_0100100","A0A5P1A0A2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","Q9NFB6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","XM_001350900.1","alternate ID","RefSeq_dna"
"PF3D7_0100100","XP_001350936.1","alternate ID","RefSeq_peptide"
"PF3D7_0100100","B5LGG5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100100","CAB89209.1","alternate ID","protein_id"
"PF3D7_0100100","MAL1P4.01","previous ID","N/A"
"PF3D7_0100100","T1Q3H8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100200","RIF","name","N/A"
"PF3D7_0100200","XM_001350901.1","alternate ID","RefSeq_dna"
"PF3D7_0100200","RIF-A","synonym","N/A"
"PF3D7_0100200","XP_001350937.1","alternate ID","RefSeq_peptide"
"PF3D7_0100200","CAB89210.1","alternate ID","protein_id"
"PF3D7_0100200","PFA0010c","previous ID","N/A"
"PF3D7_0100200","Q9NFB5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100200","UPI0000079DDF","alternate ID","UniParc"
"PF3D7_0100200","MAL1P4.02","previous ID","N/A"
"PF3D7_0100300","A0A0F6P8H0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","UPI0000077C9C","alternate ID","UniParc"
"PF3D7_0100300","Q1KVF5","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","Q1KV45","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","VAR","name","N/A"
"PF3D7_0100300","A0A5P1A1D6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","A0A5P1A1K6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","VAR-UPSA3","synonym","N/A"
"PF3D7_0100300","CAB89211.1","alternate ID","protein_id"
"PF3D7_0100300","VAR3","synonym","N/A"
"PF3D7_0100300","XP_001350938.1","alternate ID","RefSeq_peptide"
"PF3D7_0100300","A0A5P1A0B7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","A1KQT3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","Q1KV46","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","XM_001350902.1","alternate ID","RefSeq_dna"
"PF3D7_0100300","A0A5P1A0V6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","A0A5P1A1A1","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","A0A5P1A1L4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","A3R6U7","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","MAL1P4.03","previous ID","N/A"
"PF3D7_0100300","A0A5P1A2K8","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","Q9NFB4","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100300","PFA0015c","previous ID","N/A"
"PF3D7_0100400","UPI000007D7F9","alternate ID","UniParc"
"PF3D7_0100400","XP_001350939.1","alternate ID","RefSeq_peptide"
"PF3D7_0100400","CAB89212.1","alternate ID","protein_id"
"PF3D7_0100400","XM_001350903.1","alternate ID","RefSeq_dna"
"PF3D7_0100400","RIF","name","N/A"
"PF3D7_0100400","RIF-A","synonym","N/A"
"PF3D7_0100400","Q9NFB3","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100400","MAL1P4.04","previous ID","N/A"
"PF3D7_0100400","PFA0020w","previous ID","N/A"
"PF3D7_0100500","PFA0025c","previous ID","N/A"
"PF3D7_0100500","MAL1P4.05","previous ID","N/A"
"PF3D7_0100600","CAB89214.1","alternate ID","protein_id"
"PF3D7_0100600","MAL1P4.06","previous ID","N/A"
"PF3D7_0100600","RIF-B","synonym","N/A"
"PF3D7_0100600","PFA0030c","previous ID","N/A"
"PF3D7_0100600","XP_001350940.1","alternate ID","RefSeq_peptide"
"PF3D7_0100600","XM_001350904.1","alternate ID","RefSeq_dna"
"PF3D7_0100600","RIF","name","N/A"
"PF3D7_0100600","Q9NFB2","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100600","UPI000007E3EE","alternate ID","UniParc"
"PF3D7_0100700","MAL1P4.06b","previous ID","N/A"
"PF3D7_0100700","PFA0035c","previous ID","N/A"
"PF3D7_0100700","UPI0000082A94","alternate ID","UniParc"
"PF3D7_0100800","Q9NFB0","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0100800","RIF-A","synonym","N/A"
"PF3D7_0100800","PFA0040w","previous ID","N/A"
"PF3D7_0100800","RIF","name","N/A"
"PF3D7_0100800","UPI0000078E31","alternate ID","UniParc"
"PF3D7_0100800","XP_001350942.1","alternate ID","RefSeq_peptide"
"PF3D7_0100800","CAB89216.1","alternate ID","protein_id"
"PF3D7_0100800","MAL1P4.07","previous ID","N/A"
"PF3D7_0100800","XM_001350906.1","alternate ID","RefSeq_dna"
"PF3D7_0100900","RIF-A","synonym","N/A"
"PF3D7_0100900","XM_001350907.1","alternate ID","RefSeq_dna"
"PF3D7_0100900","PFA0045c","previous ID","N/A"
"PF3D7_0100900","UPI000007A7DC","alternate ID","UniParc"
"PF3D7_0100900","CAB89217.1","alternate ID","protein_id"
"PF3D7_0100900","MAL1P4.08","previous ID","N/A"
"PF3D7_0100900","XP_001350943.1","alternate ID","RefSeq_peptide"
"PF3D7_0100900","RIF","name","N/A"
"PF3D7_0100900","Q9NFA9","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101000","UPI000194AF70","alternate ID","UniParc"
"PF3D7_0101000","B9ZSH6","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101000","XP_002808598.1","alternate ID","RefSeq_peptide"
"PF3D7_0101000","RIF","name","N/A"
"PF3D7_0101000","XM_002808552.1","alternate ID","RefSeq_dna"
"PF3D7_0101000","MAL1P1.9a","previous ID","N/A"
"PF3D7_0101000","RIF-A","synonym","N/A"
"PF3D7_0101000","PFA0050c","previous ID","N/A"
"PF3D7_0101000","CAX51180.1","alternate ID","protein_id"
"PF3D7_0101100","MAL1P1.2","previous ID","N/A"
"PF3D7_0101100","CAD48971.1","alternate ID","protein_id"
"PF3D7_0101100","UPI0000083BE0","alternate ID","UniParc"
"PF3D7_0101100","PFA0055c","previous ID","N/A"
"PF3D7_0101100","CAB39056.1","alternate ID","protein_id"
"PF3D7_0101100","XM_001351277.1","alternate ID","RefSeq_dna"
"PF3D7_0101100","XP_001351313.1","alternate ID","RefSeq_peptide"
"PF3D7_0101100","EPF4","name","N/A"
"PF3D7_0101100","O97308","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101100","XP_001350946.1","alternate ID","RefSeq_peptide"
"PF3D7_0101100","XM_001350910.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","O97474","alternate ID","Uniprot/SPTREMBL"
"PF3D7_0101200","XM_001350911.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","XM_002808700.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","XP_001347675.1","alternate ID","RefSeq_peptide"
"PF3D7_0101200","XM_001351276.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","XP_001347705.1","alternate ID","RefSeq_peptide"
"PF3D7_0101200","CAB39055.1","alternate ID","protein_id"
"PF3D7_0101200","CZT98653.1","alternate ID","protein_id"
"PF3D7_0101200","XM_001349688.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","XP_001350947.1","alternate ID","RefSeq_peptide"
"PF3D7_0101200","CZT98235.1","alternate ID","protein_id"
"PF3D7_0101200","XP_001351312.1","alternate ID","RefSeq_peptide"
"PF3D7_0101200","XP_002808746.1","alternate ID","RefSeq_peptide"
"PF3D7_0101200","EPF3","name","N/A"
"PF3D7_0101200","MAL1P1.3","previous ID","N/A"
"PF3D7_0101200","UPI0000083CBF","alternate ID","UniParc"
"PF3D7_0101200","XM_001347639.1","alternate ID","RefSeq_dna"
"PF3D7_0101200","XM_001347669.2","alternate ID","RefSeq_dna"
"PF3D7_0101200","PFA0060w","previous ID","N/A"
"PF3D7_0101200","CAD48972.1","alternate ID","protein_id"
"PF3D7_0101200","CAX64019.1","alternate ID","protein_id"
